gst.prod.dl.playstation.net

60.221.71.203	(中国山西临汾 联通)
1.71.14.20	(中国山西太原 电信)
1.71.88.73	(中国山西太原 电信)
221.204.95.150	(中国山西太原 联通)
183.201.85.97	(中国山西太原 移动)
183.201.202.192	(中国山西太原 移动)
113.137.45.195	(中国陕西西安 电信)
113.142.214.202	(中国陕西西安 电信)
219.144.82.96	(中国陕西西安 电信)
113.201.47.124	(中国陕西西安 联通)
111.19.185.26	(中国陕西西安 移动)
113.142.209.72	(中国陕西延安 电信)
61.172.254.18	(中国上海 电信)
180.163.116.45	(中国上海 电信)
180.163.118.12	(中国上海 电信)
180.163.120.7	(中国上海 电信)
112.64.213.223	(中国上海 联通)
182.140.139.65	(中国四川成都 电信)
222.212.210.23	(中国四川成都 电信)
222.212.211.52	(中国四川成都 电信)
101.206.162.82	(中国四川成都 联通)
116.169.180.154	(中国四川成都 联通)
116.169.183.111	(中国四川成都 联通)
116.169.189.213	(中国四川成都 联通)
36.170.18.26	(中国四川成都 移动)
112.19.197.141	(中国四川成都 移动)
183.222.232.144	(中国四川成都 移动)
220.167.106.56	(中国四川德阳 电信)
60.26.220.28	(中国天津 联通)
116.130.199.10	(中国天津 联通)
125.39.238.70	(中国天津 联通)
111.31.112.88	(中国天津 移动)
111.31.122.50	(中国天津 移动)
111.31.236.251	(中国天津 移动)
49.119.121.201	(中国新疆乌鲁木齐 电信)
49.119.128.130	(中国新疆乌鲁木齐 电信)
39.173.184.35	(中国浙江杭州 移动)
101.64.180.215	(中国浙江湖州 联通)
36.27.222.240	(中国浙江金华 电信)
60.188.105.17	(中国浙江金华 电信)
101.71.71.58	(中国浙江宁波 联通)
183.134.93.235	(中国浙江绍兴 电信)
39.175.102.208	(中国浙江台州 移动)
115.223.8.117	(中国浙江温州 电信)
112.16.255.14	(中国浙江温州 移动)
